"","(Intercept)","zz","mean_spT","pwtemp","bareground"
"1976",-1.9558821430889,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1977",-2.17611645564809,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1978",-1.49574220739187,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1979",-1.79447991563309,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1980",-2.16634178061002,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1981",-2.65530479876828,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1982",-2.48200363079756,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1983",-2.10033756975601,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1984",-2.2715344440549,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1985",-2.16820724807463,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1986",-2.40653269581867,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1987",-2.0724171905934,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1988",-2.61002108762467,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1989",-2.02688963662423,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1990",-2.19755440346086,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1991",-2.70053213163193,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1992",-2.20290349583555,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1993",-2.09459906430086,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1994",-2.29225260242815,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1995",-1.90952136387668,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1996",-1.81513715184884,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1997",-2.49065831998329,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1998",-2.57837464580365,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"1999",-2.1299626164672,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2000",-2.38110723231898,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2001",-2.2446841027207,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2002",-1.559134056284,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2003",-1.80296440998493,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2004",-1.88953045009955,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2005",-2.20811868582055,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2006",-2.41446522595342,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2007",-2.4410793090938,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2008",-2.80259561444934,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2009",-2.25775835087782,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2010",-3.25163531174472,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2011",-2.32781875217888,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
"2012",-2.10068706908065,0.162951015614764,0.00021635773977699,-0.0676633832933693,-0.000116745523682979
